,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,revives,rideDistance,roadKills,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
54,0,0,0,0,byplayer,0,0,91,1090,-8.681788,0,0,0,0,0,0,208587588,account.04b977ee347e4562adb3d8e2e1ba39ef,0,0,0,0,199,0,146.290955,0,28,1136,-11.3751011
55,1,0,1,98.00486,byplayer,0,8,48,1132,6.6970377,0,0,0,0,0,0,luojian19951001,account.cc5cb55033814151b949837613a578b2,0,495.867584,0,0,1483,0,3417.63257,0,7,1230,17.00946
56,0,0,0,20,byplayer,0,0,83,1321,-17.0402737,0,0,0,0,0,0,MaGuuzi,account.567730d858024cbd92214c5495e29de5,0,0,0,0,313,0,644.6086,0,24,1365,-21.1041546
57,1,0,1,233.566,byplayer,0,1,22,1282,18.15448,0,2,0,0,26,0,Zeta_ok,account.cbd712d2e1964194bc701cba13f6759f,1,3564.3103,0,0,979,0,868.803467,0,15,1102,6.67404938
58,3,3,10,524.629639,byplayer,0,1,8,1347,28.6689987,0,3,0,0,75,0,TheMoXiaoJiu,account.2ec7f42046ae44f4963ef46edad1d9c4,2,883.8962,0,0,1831,1,3085.0813,0,4,1305,22.51573
59,1,0,0,224.49,byplayer,0,0,90,1307,-15.8476734,0,0,0,0,0,0,SKTdashuaibi,account.6650d1fbac7d410a9d4a4ba2e9eda90d,0,0,0,0,205,0,114.95871,0,27,1244,-14.57734
60,0,0,0,0,byplayer,0,0,87,1193,0,0,0,0,0,0,0,RuanLei1,account.9ca3f38d142941f4be68fbe66c460d06,0,0,0,0,87,0,10.4226418,0,26,1206,0
61,2,0,1,400.000031,suicide,1,1,14,1266,24.9821033,0,3,0,0,21,0,Bikini_blast,account.266b0b1349fa47d1962da2daef331ac4,0,0,0,1,338,0,287.0218,0,24,1271,-14.1772232
62,0,0,0,23.76,byplayer,0,0,77,1097,-6.66725969,0,0,0,0,0,0,djkanikj,account.d2fa467d9bf544a2a96956e1ae9202d5,0,724.4228,0,0,579,0,865.573853,0,21,1262,-12.6586647
63,2,1,4,283.8224,byplayer,3,6,5,1134,56.71141,0,4,0,0,414,0,Manson123,account.70f2fe6c50a44ec2b9b37d69e2998ea4,0,2832.55,0,0,1877,0,3849.25415,0,3,1120,47.03098
64,0,0,0,118.447662,byplayer,0,0,82,1248,-14.93258,0,0,0,0,0,0,leichouchou,account.f39b769bf77c463a812593270a666d97,0,1319.774,0,0,256,0,381.072845,0,23,1240,-13.5042534
65,2,1,0,199.999985,byplayer,1,5,38,1350,-2.097938,0,1,0,0,0,0,Mloasd,account.a861f52e37ad477a98aea722d0ced81d,1,0,0,0,385,0,591.49646,0,21,1033,-4.79460955
66,0,0,0,0,byplayer,0,0,80,1268,-13.8262472,0,0,0,0,0,0,Amie520,account.500e9cd1c9f14da3bc11209a60a1c2c4,0,0,0,0,357,0,642.1461,0,22,1389,-19.1793766
67,0,0,0,11.88,byplayer,0,0,95,1095,-11.4751692,0,0,0,0,0,0,fuminze1314520,account.b760fabe27f24f999e7b17fe96d0467e,0,0,0,0,179,0,221.21402,0,29,1177,-13.40293
68,1,0,0,164,byplayer,0,0,100,1692,0,0,0,0,0,0,0,92k-NO1,account.a04ede41fe0544b6a3a1ac3faa073c42,0,0,0,0,92,0,22.256443,0,30,1406,0
69,0,0,0,36.0132675,byplayer,0,0,54,1064,7.6317153,0,0,0,0,0,0,syuhei,account.0a5667062d9a4605b26c71ac60160c90,0,3333.62427,0,0,1398,0,1683.03943,0,9,1170,15.6351328
70,2,0,6,414.491882,byplayer,2,7,6,1470,26.40965,0,4,0,0,33,0,ShunBaBa6666,account.e495f87ce668428491d06bda9ac483c3,0,745.598145,0,0,1292,0,3134.12036,0,12,1279,5.304674
71,1,0,0,100,byplayer,0,0,78,1217,-9.739907,0,0,0,0,0,0,shashou771489671,account.b035f72bff76428087daa583cecced81,0,0,0,0,494,0,972.9705,0,21,1257,-9.699786
72,0,1,0,92.8,byplayer,0,0,73,1200,-8.621173,0,0,0,0,0,0,00993,account.381d8163085c489d9fb02ac2a053b40b,0,0,0,0,377,0,636.748,0,19,1156,-3.5963760000000002
73,0,0,3,37.610405,byplayer,0,17,50,1165,3.57941747,0,0,0,0,0,0,pipisipiss,account.f9e7d2659ab24eff866581598c9ce0d6,0,3708.29224,0,0,1425,0,2864.445,0,8,1157,19.48176
74,0,0,4,47.6419,byplayer,0,10,51,1189,2.96647882,0,0,0,0,0,0,xXxNeFeSKeSeNxXx,account.361a1787fc874f28b4ce194f7b29ceee,0,3858.94849,0,0,1408,0,2409.57251,0,8,1173,16.8728886
75,0,0,1,63.8561325,byplayer,0,5,59,1318,-7.5138607,0,0,0,0,0,0,MysteryMango,account.4a1e62e33adb4699a45fc4e86dbf03ee,0,6642.031,0,0,1652,0,1318.62854,0,13,1104,10.5481758
76,0,0,1,19.8768654,byplayer,0,1,72,1312,-11.5149889,0,0,0,0,0,0,FamK,account.96d94b91d6c94e97ab1661b3e8394916,0,0,0,0,647,0,1215.8324,0,19,1344,-9.744805
77,0,0,0,0,byplayer,0,0,99,1215,0,0,0,0,0,0,0,MangSeng_Kar98k,account.b90421c53b4849bb9b4fe47b5612f58b,0,0,0,0,88,0,26.145647,0,29,1168,0
78,0,0,0,0,byplayer,0,0,79,1223,-10.7700224,0,0,0,0,0,0,TAIQUAN-YEWEN,account.8609c23c8c784c9ebfae01dab8889b7f,0,0,0,0,422,0,802.782654,0,21,1317,-12.5973673
79,0,0,0,0,byplayer,0,0,85,1214,-10.7807541,0,0,0,0,0,0,SIJIN521,account.6d86de378804456d9a6e62a1acd27961,0,0,0,0,311,0,140.4912,0,26,1204,-11.2852011
80,0,0,1,29.9756889,byplayer,0,1,49,1094,8.834567,0,0,0,0,0,0,cyl020,account.9e9760b3570f4d619c6e276b7d6c261b,0,334.9203,0,0,893,0,1589.87451,0,7,1323,10.5027657
81,0,1,2,76.2046661,byplayer,0,15,61,1312,-7.428727,0,0,0,0,0,0,LONSHAO666,account.5cdb3bf848fb45e2a7ef45750adca515,0,5259.458,0,0,1222,0,1812.67761,0,13,1306,-0.712520361
